"Register to Create an Account","Register to Create an Account"
"Register and save time!","Register and save time!"
"Register with us for future convenience:","Register with us for future convenience:"
"Fast and easy check out","Fast and easy check out"
"Easy access to your order history and status","Easy access to your order history and status"
Register,Register
"Returning Customers","Returning Customers"
"Sign in to speed up your checkout process","Sign in to speed up your checkout process"
"* Required Fields","* Required Fields"
"Email Address","Email Address"
Password,Password
"Forgot your password?","Forgot your password?"
Login,Login
"Click to apply coupon","Click to apply coupon"
"Enter your coupon code.","Enter your coupon code."
Apply,Apply
Remove,Remove
Total,Total
"Total incl. tax","Total incl. tax"
"Cart Items","Cart Items"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Incl. Tax","Incl. Tax"
"Shipping Method","Shipping Method"
Totals,Totals
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"Add a gift message to my order","Add a gift message to my order"
From,From
To,To
Message,Message
"Save Message","Save Message"
"Checkout ID","Checkout ID"
Reservation,Reservation
Reference,Reference
"Bad request","Bad request"
"Order processed by Klarna.","Order processed by Klarna."
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Klarna Checkout","Klarna Checkout"
"Unable to select shipping method. Please try again.","Unable to select shipping method. Please try again."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code was canceled.","Coupon code was canceled."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Unable to complete order. Please try again","Unable to complete order. Please try again"
"Unable to process order. Please try again","Unable to process order. Please try again"
"Order already exist.","Order already exist."
"Unable to initialize Klarna checkout order","Unable to initialize Klarna checkout order"
"Object model is not defined.","Object model is not defined."
"Sales Tax","Sales Tax"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Invalid method type ""%s","Invalid method type ""%s"
"Invalid billing details","Invalid billing details"
"Customer Address is not valid.","Customer Address is not valid."
"Invalid shipping method.","Invalid shipping method."
"Invalid checkout type.","Invalid checkout type."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Please enter a valid email address.","Please enter a valid email address."
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the subscription.","There was a problem with the subscription."
Disabled,Disabled
"Refund amount","Refund amount"
"We use Klarna Checkout as our checkout, which offers a simplified purchase experience. When you choose to go to the checkout, your email address, first name, last name, date of birth, address and phone number may be automatically transferred to Klarna AB, enabling the provision of Klarna Checkout. <a href=""%s"" target=""_blank"">These User Terms</a> apply for the use of Klarna Checkout.","We use Klarna Checkout as our checkout, which offers a simplified purchase experience. When you choose to go to the checkout, your email address, first name, last name, date of birth, address and phone number may be automatically transferred to Klarna AB, enabling the provision of Klarna Checkout. <a href=""%s"" target=""_blank"">These User Terms</a> apply for the use of Klarna Checkout."
"Transfer Data","Transfer Data"
"Apply the terms of use for data transmission","Apply the terms of use for data transmission"
Title,Title
"Click here to visit the Klarna Merchant Onboarding Page and request credentials.","Click here to visit the Klarna Merchant Onboarding Page and request credentials."
Enabled,Enabled
"API Version","API Version"
"Merchant ID","Merchant ID",
"Shared secret","Shared secret"
"Test Mode","Test Mode"
"Debug Mode","Debug Mode"
"Should not be enabled in production. Sensitive information is logged.","Should not be enabled in production. Sensitive information is logged."
"New order status","New order status"
"Payment from applicable countries","Payment from applicable countries"
"If set to specific, guest customers will not have a billing country and may not be able to checkout.","If set to specific, guest customers will not have a billing country and may not be able to checkout."
"Payment from Specific countries","Payment from Specific countries"
"Shipping Countries","Shipping Countries"
"Supported shipping countries for Klarna.","Supported shipping countries for Klarna."
"Disable Klarna for specific customer groups","Disable Klarna for specific customer groups"
"Selected groups will see standard checkout instead of Klarna checkout.","Selected groups will see standard checkout instead of Klarna checkout."
"External Payment Methods","External Payment Methods"
"Displayed when Klarna’s standard offering is not approved for the customer.","Displayed when Klarna’s standard offering is not approved for the customer."
"Cron schedule for process recurring profile","Cron schedule for process recurring profile"
"Use Crontab Format (Eg. ""*/5 * * * *"" for every 5 minutes)","Use Crontab Format (Eg. ""*/5 * * * *"" for every 5 minutes)"
"Klarna Checkout Options","Klarna Checkout Options"
"Merchant Checkbox","Merchant Checkbox"
"Enable a checkbox within the checkout to trigger user behavior. May not available in all markets.","Enable a checkbox within the checkout to trigger user behavior. May not available in all markets."
"Merchant Checkbox Text","Merchant Checkbox Text"
"Leave blank to use default text with selected method.","Leave blank to use default text with selected method."
"Merchant Checkbox Required","Merchant Checkbox Required"
"If the checkbox must be checked before the customer can place the order.","If the checkbox must be checked before the customer can place the order."
"Merchant Checkbox Checked","Merchant Checkbox Checked"
"If the checkbox will be checked by default.","If the checkbox will be checked by default."
"Allow Guest Checkout","Allow Guest Checkout"
"URL to terms and conditions","URL to terms and conditions"
"URL to this store's own terms and conditions.","URL to this store's own terms and conditions."
"Separate shipping addresses","Separate shipping addresses"
"Allow shipping address to be different from billing address.","Allow shipping address to be different from billing address."
"Packstation Enabled","Packstation Enabled"
"Only available in certain markets. Hint: If set to true it forces the value of the Klarna configuration ""Separate shipping addresses"" to ""Enable""","Only available in certain markets. Hint: If set to true it forces the value of the Klarna configuration ""Separate shipping addresses"" to ""Enable"""
"Auto focus Klarna Checkout","Auto focus Klarna Checkout"
"Pre-fill Customer Details","Pre-fill Customer Details"
"Pre-fill Klarna Checkout with stored customer data.","Pre-fill Klarna Checkout with stored customer data."
"Customer pre-fill notice Enabled","Customer pre-fill notice Enabled"
"Display a pre-fill notice to registered customer before submitting details to Klarna. The customer must accept the notice before continuing checkout.","Display a pre-fill notice to registered customer before submitting details to Klarna. The customer must accept the notice before continuing checkout."
"Title mandatory","Title mandatory"
"Only available in certain markets.","Only available in certain markets."
"Date of birth mandatory","Date of birth mandatory"
"Telephone number mandatory","Telephone number mandatory"
"National identification number mandatory","National identification number mandatory"
"Enable B2B mode","Enable B2B mode"
"Enable B2B checkout mode (Not available in all Markets. Must be setup in your contract with Klarna)","Enable B2B checkout mode (Not available in all Markets. Must be setup in your contract with Klarna)"
"Business ID attribute","Business ID attribute"
"Custom attribute for business id","Custom attribute for business id"
"Custom Checkboxes","Custom Checkboxes"
"Add multiple additional custom checkboxes to Klarna Checkout.","Add multiple additional custom checkboxes to Klarna Checkout."
"Klarna Checkout Design","Klarna Checkout Design"
"Checkout button color","Checkout button color"
"Example: #0072CC","Example: #0072CC"
"Checkout button text color","Checkout button text color"
"Checkout checkbox color","Checkout checkbox color"
"Checkout checkbox check mark color","Checkout checkbox check mark color"
"Checkout header color","Checkout header color"
"Checkout link color","Checkout link color"
"Checkout border radius","Checkout border radius"
"Example: 0px","Example: 0px"
"PayPal Express","PayPal Express"
"Checkout using PayPal.","Checkout using PayPal."
"v3.1 North America","v3.1 North America"
"v3 UK","v3 UK"
"v3 NL","v3 NL"
"Newsletter Signup","Newsletter Signup"
"Signup to our newsletter","Signup to our newsletter"
"Create Account","Create Account"
"Create account for faster checkout next time","Create account for faster checkout next time"
"Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>","Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>"
"Merchant Portal","Merchant Portal"
"Invoice ID (#%s)","Invoice ID (#%s)"
"Klarna Checkout Success","Klarna Checkout Success"
"View Order Details","View Order Details"
"View All Orders","View All Orders"
"Back","Back"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Cancel Order","Cancel Order"
"Checkbox Id","Checkbox Id"
"Checked By Default","Checked By Default"
"Required By Default","Required By Default"
"Checkbox Text","Checkbox Text"
Add,Add
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Pay with Klarna","Pay with Klarna"
"C/O","C/O"
"Unable to initialize Klarna checkout order","Unable to initialize Klarna checkout order"
"Discount (%s)","Discount (%s)"
Discount,Discount
"The order item model should be extended from Klarna_Kco_Model_Checkout_Orderline_Abstract.","The order item model should be extended from Klarna_Kco_Model_Checkout_Orderline_Abstract."
"The order item model should be extended from Klarna_Kco_Model_Checkout_Attachment_Abstract.","The order item model should be extended from Klarna_Kco_Model_Checkout_Attachment_Abstract."
"Object model is not defined.","Object model is not defined."
"Admin orders are not available for this store.","Admin orders are not available for this store."
"This order no longer exists.","This order no longer exists."
"Failed to send the order to Klarna.","Failed to send the order to Klarna."
"Order cancelled","Order cancelled"
"Unable to cancel order. Please try again","Unable to cancel order. Please try again"
"Strip Zip/Post Code","Strip Zip/Post Code"
"Strips the last four digits from ZIP+4 codes. Recommended for tax rules using specific zip code. NOTE: US only.","Strips the last four digits from ZIP+4 codes. Recommended for tax rules using specific zip code. NOTE: US only."
"Grams","Grams"
"Kg","Kg"
"Lbs","Lbs"
"Oz","Oz"
"Mm","Mm"
"Cm","Cm"
"Inch","Inch"
"Klarna Checkout Shipping Options","Klarna Checkout Shipping Options"
"Product weight unit","Product weight unit"
"Defines which unit will be used for the product weights","Defines which unit will be used for the product weights"
"Product size unit","Product size unit"
"Defines which unit will be used for the product size","Defines which unit will be used for the product size"
"Product length attribute","Product length attribute"
